test_name,real,user,sys,file_size
it_O0,0.02,0.02,0.0,71088
rec_O0,0.1,0.05,0.05,71096
it_O1,0.02,0.02,0.0,71088
rec_O1,0.06,0.05,0.01,71096
it_O2,0.02,0.02,0.0,71112
rec_O2,0.06,0.05,0.01,71120
it_Os,0.02,0.02,0.0,71088
rec_Os,0.06,0.04,0.02,71096
