test_name,real,user,sys,file_size
it_O0,0.75,0.63,0.11,71088
rec_O0,0.56,0.55,0.01,71096
it_O1,0.63,0.62,0.01,71088
rec_O1,0.56,0.56,0.0,71096
it_O2,0.63,0.62,0.01,71112
rec_O2,0.57,0.55,0.01,71120
it_Os,0.64,0.61,0.02,71088
rec_Os,0.57,0.56,0.01,71096
