test_name,real,user,sys,file_size
it_O0,4.71,3.73,0.96,71088
rec_O0,5.43,3.58,0.81,71096
it_O1,4.07,3.89,0.12,71088
rec_O1,5.48,3.67,0.41,71096
it_O2,4.06,3.9,0.1,71112
rec_O2,5.56,3.57,0.5,71120
it_Os,4.19,3.99,0.14,71088
rec_Os,5.47,3.63,0.49,71096
