test_name,real,user,sys,file_size
it_O0,0.54,0.52,0.01,71088
rec_O0,8.38,1.69,2.42,71096
it_O1,0.58,0.52,0.02,71088
rec_O1,7.97,1.68,1.48,71096
it_O2,0.57,0.53,0.01,71112
rec_O2,8.0,1.72,1.43,71120
it_Os,0.6,0.57,0.0,71088
rec_Os,7.49,1.66,1.56,71096
