test_name,real,user,sys,file_size
it_O0,0.6,0.59,0.0,71088
rec_O0,3.85,0.87,1.73,71096
it_O1,0.65,0.59,0.01,71088
rec_O1,2.7,0.9,0.7,71096
it_O2,0.66,0.59,0.01,71112
rec_O2,2.63,0.79,0.84,71120
it_Os,0.67,0.61,0.0,71088
rec_Os,2.62,0.85,0.82,71096
