test_name,real,user,sys,file_size
it_O0,0.02,0.02,0.0,70848
rec_O0,0.06,0.04,0.02,70856
it_O1,0.02,0.02,0.0,70856
rec_O1,0.06,0.06,0.0,70856
it_O2,0.02,0.02,0.0,70880
rec_O2,0.07,0.05,0.01,70880
it_Os,0.02,0.02,0.0,70848
rec_Os,0.07,0.04,0.02,70856
