test_name,real,user,sys,file_size
it_O0,0.55,0.54,0.0,70848
rec_O0,8.2,1.82,1.3,70856
it_O1,0.58,0.54,0.01,70856
rec_O1,8.15,1.66,1.58,70856
it_O2,1.02,0.9,0.07,70880
rec_O2,8.49,1.85,2.02,70880
it_Os,0.58,0.54,0.01,70848
rec_Os,7.7,1.63,1.36,70856
